NIS,NIS_code,unemployed,foreigners,euforeigners,noneuforeigners,degree,bornabroad,borneu,bornnoneu,density,age,NL,FR,Reg_NL,income
37011,37011,0.0253,0.0251,0.0163,0.0088,0.2191,0.0339,0.0195,0.0144,195.58,41.245995913,Pittem,Pittem,Vlaams Gewest,16048
37012,37012,0.0242,0.0242,0.0194,0.0048,0.2494,0.0322,0.0222,0.01,172.64,41.887753422,Ruiselede,Ruiselede,Vlaams Gewest,16346
37015,37015,0.0322,0.0276,0.0124,0.0152,0.2669,0.0493,0.0151,0.0342,288.73,42.67396921,Tielt (Tielt),Tielt (Tielt),Vlaams Gewest,17059
37017,37017,0.0352,0.0181,0.0107,0.0074,0.2176,0.0392,0.013,0.0263,421.73,39.802552096,Wielsbeke,Wielsbeke,Vlaams Gewest,16262
37018,37018,0.0232,0.0219,0.0091,0.0128,0.2178,0.0302,0.0121,0.0181,204.85,40.913847328,Wingene,Wingene,Vlaams Gewest,16196
35002,35002,0.0569,0.0272,0.0149,0.0123,0.2023,0.0581,0.0298,0.0283,1254.75,42.043570019,Bredene,Bredene,Vlaams Gewest,17339
35029,35029,0.0696,0.0334,0.0242,0.0093,0.259,0.0594,0.0376,0.0219,297.21,47.737697934,De Haan,De Haan,Vlaams Gewest,18918
35005,35005,0.0397,0.0186,0.0105,0.0081,0.2478,0.0365,0.0198,0.0167,279.41,41.015210285,Gistel,Gistel,Vlaams Gewest,16566
35006,35006,0.035,0.0119,0.0061,0.0058,0.186,0.0235,0.0129,0.0106,306.12,41.24699715,Ichtegem,Ichtegem,Vlaams Gewest,15925
35011,35011,0.0641,0.0219,0.0142,0.0077,0.1822,0.053,0.0312,0.0217,249.85,47.99560517,Middelkerke,Middelkerke,Vlaams Gewest,16514
35013,35013,0.0914,0.0642,0.0235,0.0407,0.2249,0.1134,0.0398,0.0735,1855.06,46.72796494,Oostende,Ostende,Vlaams Gewest,16733
35014,35014,0.0357,0.013,0.0062,0.0068,0.2119,0.0305,0.0159,0.0146,256.08,42.649478549,Oudenburg,Oudenburg,Vlaams Gewest,16790
33039,33039,0.0435,0.0665,0.0612,0.0052,0.195,0.0857,0.0742,0.0115,84.93,41.61405553,Heuvelland,Heuvelland,Vlaams Gewest,14856
33040,33040,0.0352,0.0281,0.0098,0.0183,0.2001,0.0409,0.0192,0.0217,151.57,40.281589039,Langemark-Poelkapelle,Langemark-Poelkapelle,Vlaams Gewest,15086
33016,33016,0.0957,0.1407,0.1333,0.0074,0.1097,0.1767,0.163,0.0138,264.09,41.429903713,Mesen,Messines,Vlaams Gewest,12894
33021,33021,0.0408,0.0216,0.0133,0.0083,0.2267,0.0381,0.0239,0.0141,167.69,41.976193826,Poperinge,Poperinge,Vlaams Gewest,15205
